개념라벨,판정,최종ID,최종라벨,출처,매핑유형,결정근거
Sleep Habits: Smoke 20 packs of cigarettes in life,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Sleep Habits: Total nap time,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Sleep Habits: Years since stopped smoking,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Smoking Status at Sleep Heart Health Study Visit Two,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Frequency of excessive sleepiness during the day in the last 4 weeks,자동매핑후보,SNOMED:1367959007,Excessive daytime sleepiness,snomed,관련,LLM재질의(excessive daytime sleepiness)
Symptoms worse later in day or night,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Symptoms worse when at rest with temporary relief by activity,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Typical number of naps in a usual week from survey questionnaires,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Apnea-Hypopnea Index: (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Apnea-Hypopnea Index: (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Apnea-Hypopnea Index: (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Apnea-Hypopnea Index: (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,자동매핑후보,EFO:0920131,apnea-hypopnea index measurement,efo,관련,LLM판정-후보1
Ratio of the number of central apneas with no oxygen desaturation threshold used and with or without arousal to the number of obstructive apneas with no oxygen desaturation threshold used and with or without arousal from type II polysomnography,자동매핑후보,SNOMED:716202005,Apnea Hypopnea Index,snomed,관련,LLM판정-검증ID
Ratio of the number of central apneas with no oxygen desaturation threshold used or without arousal to the number of obstructive apneas with no oxygen desaturation threshold used or with arousal from type II polysomnography,자동매핑후보,SNOMED:716202005,Apnea Hypopnea Index,snomed,관련,LLM판정-검증ID
REM Latency I: the interval between sleep onset and first REM (including wake) from type II polysomnography,자동매핑후보,OBA:2040172,sleep latency,efo,관련,LLM판정-검증ID
Sleep onset time from type II polysomnography,자동매핑후보,SNOMED:288101000119104,"Behavioral insomnia of childhood, sleep onset association type (disorder)",snomed,관련,LLM재질의(sleep onset)
Usual work schedule,자동매핑후보,SNOMED:266961004,Shift worker,snomed,관련,LLM재질의(shift work)
